date,interest,province,month,year,Shopping,First_Nations_Topic,chewing_shopping,ecig_search
2021-05,56,NS,05,2021,39,15,,50
2021-06,59,NS,06,2021,56,25,,51
2021-07,82,NS,07,2021,76,20,,64
2021-08,75,NS,08,2021,67,11,,68
2021-09,99,NS,09,2021,64,19,,69
2021-10,92,NS,10,2021,75,17,,76
2021-11,82,NS,11,2021,55,15,,67
2021-12,92,NS,12,2021,72,13,,71
2022-01,66,NS,01,2022,48,13,,58
2022-02,61,NS,02,2022,44,17,,53
2022-03,61,NS,03,2022,46,19,,59
2022-04,64,NS,04,2022,53,20,,61
2022-05,76,NS,05,2022,53,17,,67
2022-06,60,NS,06,2022,48,17,,61
2022-07,89,NS,07,2022,75,16,,59
2022-08,75,NS,08,2022,71,12,,64
2022-09,77,NS,09,2022,50,22,,64
2022-10,74,NS,10,2022,64,23,,62
2022-11,53,NS,11,2022,54,21,,60
2022-12,63,NS,12,2022,57,14,,65
2023-01,53,NS,01,2023,35,17,,68
2023-02,57,NS,02,2023,50,16,,68
2023-03,62,NS,03,2023,58,23,,73
2023-04,62,NS,04,2023,64,25,,75
2023-05,64,NS,05,2023,44,22,,73
2023-06,68,NS,06,2023,59,25,,72
2023-07,70,NS,07,2023,67,23,,76
2023-08,76,NS,08,2023,59,18,,74
2023-09,60,NS,09,2023,68,30,,75
2023-10,45,NS,10,2023,46,34,,72
2023-11,55,NS,11,2023,52,29,,62
2023-12,37,NS,12,2023,38,18,,63
2024-01,37,NS,01,2024,32,18,,60
2018-01,21,ON,01,2018,26,26,27,47
2018-02,19,ON,02,2018,25,24,34,42
2018-03,21,ON,03,2018,25,24,37,46
2018-04,19,ON,04,2018,23,26,36,43
2018-05,19,ON,05,2018,22,30,34,40
2018-06,19,ON,06,2018,26,22,43,44
2018-07,24,ON,07,2018,28,16,33,46
2018-08,27,ON,08,2018,27,14,30,49
2018-09,30,ON,09,2018,36,18,39,57
2018-10,23,ON,10,2018,34,22,22,63
2018-11,22,ON,11,2018,36,23,28,64
2018-12,27,ON,12,2018,35,19,28,60
2019-01,24,ON,01,2019,34,22,35,59
2019-02,20,ON,02,2019,31,22,30,56
2019-03,23,ON,03,2019,32,24,34,55
2019-04,26,ON,04,2019,34,24,40,58
2019-05,25,ON,05,2019,30,26,29,57
2019-06,25,ON,06,2019,34,21,23,55
2019-07,26,ON,07,2019,32,14,31,55
2019-08,28,ON,08,2019,37,11,32,64
2019-09,18,ON,09,2019,42,18,37,82
2019-10,16,ON,10,2019,27,20,37,49
2019-11,14,ON,11,2019,27,18,26,44
2019-12,17,ON,12,2019,26,15,36,45
2020-01,15,ON,01,2020,26,18,30,43
2020-02,15,ON,02,2020,24,22,36,42
2020-03,19,ON,03,2020,21,16,24,40
2020-04,18,ON,04,2020,23,18,31,40
2020-05,14,ON,05,2020,20,18,20,33
2020-06,14,ON,06,2020,20,17,32,34
2020-07,17,ON,07,2020,25,13,25,37
2020-08,21,ON,08,2020,23,10,20,41
2020-09,22,ON,09,2020,26,15,26,41
2020-10,20,ON,10,2020,26,18,26,43
2020-11,20,ON,11,2020,29,18,15,41
2020-12,26,ON,12,2020,30,13,21,47
2021-01,24,ON,01,2021,29,14,26,49
2021-02,22,ON,02,2021,28,15,18,49
2021-03,22,ON,03,2021,23,16,20,44
2021-04,23,ON,04,2021,23,13,24,45
2021-05,26,ON,05,2021,26,15,26,43
2021-06,26,ON,06,2021,25,23,23,40
2021-07,27,ON,07,2021,23,17,19,43
2021-08,29,ON,08,2021,27,10,22,49
2021-09,29,ON,09,2021,25,17,27,47
2021-10,27,ON,10,2021,31,17,37,50
2021-11,24,ON,11,2021,25,17,21,48
2021-12,26,ON,12,2021,26,12,19,46
2022-01,19,ON,01,2022,25,15,19,43
2022-02,20,ON,02,2022,23,15,17,42
2022-03,21,ON,03,2022,23,18,21,44
2022-04,22,ON,04,2022,25,20,27,47
2022-05,23,ON,05,2022,26,18,22,50
2022-06,27,ON,06,2022,27,17,32,53
2022-07,31,ON,07,2022,30,13,24,54
2022-08,31,ON,08,2022,28,10,31,51
2022-09,27,ON,09,2022,28,18,29,46
2022-10,26,ON,10,2022,28,19,25,51
2022-11,24,ON,11,2022,27,17,15,47
2022-12,28,ON,12,2022,28,14,20,53
2023-01,25,ON,01,2023,29,15,24,56
2023-02,25,ON,02,2023,26,17,21,52
2023-03,25,ON,03,2023,28,22,24,54
2023-04,24,ON,04,2023,31,25,27,55
2023-05,28,ON,05,2023,31,25,27,62
2023-06,27,ON,06,2023,30,27,31,58
2023-07,30,ON,07,2023,32,19,30,59
2023-08,31,ON,08,2023,33,15,29,62
2023-09,27,ON,09,2023,33,26,25,61
2023-10,24,ON,10,2023,32,32,32,59
2023-11,21,ON,11,2023,33,29,20,56
2023-12,23,ON,12,2023,29,19,28,54
2024-01,21,ON,01,2024,28,19,26,50
2018-01,0,PE,01,2018,,,,
2018-02,0,PE,02,2018,,,,
2018-03,0,PE,03,2018,,,,
2018-04,62,PE,04,2018,,,,
2018-05,0,PE,05,2018,,,,
2018-06,0,PE,06,2018,,,,
2018-07,0,PE,07,2018,,,,
2018-08,0,PE,08,2018,,,,
2018-09,0,PE,09,2018,,,,
2018-10,0,PE,10,2018,,,,
2018-11,0,PE,11,2018,,,,
2018-12,0,PE,12,2018,,,,
2019-01,0,PE,01,2019,,,,
2019-02,0,PE,02,2019,,,,
2019-03,0,PE,03,2019,,,,
2019-04,0,PE,04,2019,,,,
2019-05,0,PE,05,2019,,,,
2019-06,0,PE,06,2019,,,,
2019-07,0,PE,07,2019,,,,
2019-08,0,PE,08,2019,,,,
2019-09,0,PE,09,2019,,,,
2019-10,0,PE,10,2019,,,,
2019-11,0,PE,11,2019,,,,
2019-12,0,PE,12,2019,,,,
2020-01,53,PE,01,2020,,,,
2020-02,0,PE,02,2020,,,,
2020-03,0,PE,03,2020,,,,
2020-04,41,PE,04,2020,,,,
2020-05,58,PE,05,2020,,,,
2020-06,0,PE,06,2020,,,,
2020-07,56,PE,07,2020,,,,
2020-08,0,PE,08,2020,,,,
2020-09,0,PE,09,2020,,,,
2020-10,0,PE,10,2020,,,,
2020-11,0,PE,11,2020,,,,
2020-12,0,PE,12,2020,,,,
2021-01,0,PE,01,2021,,,,
2021-02,0,PE,02,2021,,,,
2021-03,0,PE,03,2021,,,,
2021-04,0,PE,04,2021,,,,
